LabID,LabName,FacilityID
220891,Debidwar Niramoy Diagnostic Center — Consultancy & Diagnostic Center [DGHS Facility ID 20891],120891
220892,LAXMIPUR MEDICAL CENTER — Consultancy & Diagnostic Center [DGHS Facility ID 20892],120892
220893,Digi Health Care Diagnostic Centre. — Consultancy & Diagnostic Center [DGHS Facility ID 20893],120893
220895,Niramoy Hospital & Diagnostic Center — Consultancy & Diagnostic Center [DGHS Facility ID 20895],120895
220896,SHARMIN MEDICAL ULTRASONOGRAFI CENTRE — Consultancy & Diagnostic Center [DGHS Facility ID 20896],120896
220900,Shamshernagar Popular Diagnostic Center — Consultancy & Diagnostic Center [DGHS Facility ID 20900],120900
220901,Medicus Diagnostic and Medical Centre — Consultancy & Diagnostic Center [DGHS Facility ID 20901],120901
220904,Modern X-Ray & Pathology Clinic — Consultancy & Diagnostic Center [DGHS Facility ID 20904],120904
220907,Grameen kalyan Nagorerhat Health center — Consultancy & Diagnostic Center [DGHS Facility ID 20907],120907
220909,Titas Health Care. — Consultancy & Diagnostic Center [DGHS Facility ID 20909],120909
220911,New Life Medical Center — Consultancy & Diagnostic Center [DGHS Facility ID 20911],120911
220912,Ridey Diagnostic Center — Consultancy & Diagnostic Center [DGHS Facility ID 20912],120912
220934,Jamuna Diagnostic Center — Consultancy & Diagnostic Center [DGHS Facility ID 20934],120934
220945,"Pathology, Patwary General Hospital — Consultancy & Diagnostic Center [DGHS Facility ID 20945]",120945
220946,Nur General Hospital — Consultancy & Diagnostic Center [DGHS Facility ID 20946],120946
220950,Health Care Digital Diagnostic Center (Pvt.) Ltd. — Consultancy & Diagnostic Center [DGHS Facility ID 20950],120950
220951,Chatkhil Central Hospital (Pvt.) — Consultancy & Diagnostic Center [DGHS Facility ID 20951],120951
220954,Sukran Hospital & diagnostic Center — Consultancy & Diagnostic Center [DGHS Facility ID 20954],120954
220955,Medical Zone — Consultancy & Diagnostic Center [DGHS Facility ID 20955],120955
220959,Central Hospital And Diagnostic Centre — Consultancy & Diagnostic Center [DGHS Facility ID 20959],120959
220965,Firoza Diagnostic Center — Consultancy & Diagnostic Center [DGHS Facility ID 20965],120965
220968,Dream Medical Services — Consultancy & Diagnostic Center [DGHS Facility ID 20968],120968
220972,Chowmuhani Medical Services — Consultancy & Diagnostic Center [DGHS Facility ID 20972],120972
220979,Mukti General Hospital — Consultancy & Diagnostic Center [DGHS Facility ID 20979],120979
220986,Millennium Pangu Hospital & Diagnostic Complex — Consultancy & Diagnostic Center [DGHS Facility ID 20986],120986
220989,Noakhali Private Hospital Diagnostic Center — Consultancy & Diagnostic Center [DGHS Facility ID 20989],120989
220992,Medi Aid Complex pvt.Ltd. — Consultancy & Diagnostic Center [DGHS Facility ID 20992],120992
220993,Maijdee Pathology (Zaman Physiotherapy & Diagnostic Center) — Consultancy & Diagnostic Center [DGHS Facility ID 20993],120993
220996,Khanjanpur Mission Health Service — Consultancy & Diagnostic Center [DGHS Facility ID 20996],120996
220999,Moinuddin Memorial Hospital ( Diagnostic Center ) — Consultancy & Diagnostic Center [DGHS Facility ID 20999],120999
221000,Rabeya Private Hospital — Consultancy & Diagnostic Center [DGHS Facility ID 21000],121000
221004,NIRVOR DIAGNOSTIC CENTER — Consultancy & Diagnostic Center [DGHS Facility ID 21004],121004
221005,Monir Diagnostic Center — Consultancy & Diagnostic Center [DGHS Facility ID 21005],121005
221006,Megha Diagnostic Lab — Consultancy & Diagnostic Center [DGHS Facility ID 21006],121006
221010,ASGAR ALI HOSPITAL — Blood Bank [DGHS Facility ID 21010],121010
221012,mahir lab 2 — Consultancy & Diagnostic Center [DGHS Facility ID 21012],121012
221016,Uttara Diagnostic Center — Consultancy & Diagnostic Center [DGHS Facility ID 21016],121016
221018,Health Care Diagnostic Centre — Consultancy & Diagnostic Center [DGHS Facility ID 21018],121018
221021,Al Makka Diagnostic Center & Doctor Point — Consultancy & Diagnostic Center [DGHS Facility ID 21021],121021
221023,CCDC Diagnostic and Doctors Point — Consultancy & Diagnostic Center [DGHS Facility ID 21023],121023
221025,Popular Diagnostic Centre Ltd. (Kushtia Branch) — Consultancy & Diagnostic Center [DGHS Facility ID 21025],121025
221026,FAMILY HEALTH CARE — Consultancy & Diagnostic Center [DGHS Facility ID 21026],121026
221029,TULU DIAGONOSTIC CENTER — Consultancy & Diagnostic Center [DGHS Facility ID 21029],121029
221030,Max Diagnostic ltd — Consultancy & Diagnostic Center [DGHS Facility ID 21030],121030
221031,Comilla Central Hospital Pvt Ltd — Consultancy & Diagnostic Center [DGHS Facility ID 21031],121031
221032,INTERNATIONAL HEALTH CENTRE LTD — Consultancy & Diagnostic Center [DGHS Facility ID 21032],121032
221033,RANGUNIA HEALTH CARE & DIAGNOSTIC CENTER (PVT.) LTD — Consultancy & Diagnostic Center [DGHS Facility ID 21033],121033
221034,Ma Diagnostic & Diabetic Corner — Consultancy & Diagnostic Center [DGHS Facility ID 21034],121034
221042,JANANI MEDICAL CENTRE — Consultancy & Diagnostic Center [DGHS Facility ID 21042],121042
221047,Rokeya Clinic and Diagnostic Center — Consultancy & Diagnostic Center [DGHS Facility ID 21047],121047
221048,Goribe Newaj Hospital & Lab — Consultancy & Diagnostic Center [DGHS Facility ID 21048],121048
221049,Green Life General Hospital (Diagnostic) — Consultancy & Diagnostic Center [DGHS Facility ID 21049],121049
221050,Rajshahi Diabetic Association Pathology Laboratory — Consultancy & Diagnostic Center [DGHS Facility ID 21050],121050
221051,The Medical Center — Consultancy & Diagnostic Center [DGHS Facility ID 21051],121051
221054,CHITTAGONG SQUARE CLINICAL LABORATORY LTD — Consultancy & Diagnostic Center [DGHS Facility ID 21054],121054
221056,AL KHIDMAH MEDICAL SERVICES(PVT) — Consultancy & Diagnostic Center [DGHS Facility ID 21056],121056
221058,MODERN DIAGNOSTIC & ULTRASONOGRAPHY — Consultancy & Diagnostic Center [DGHS Facility ID 21058],121058
221060,GREEN LIFE CLINIC & DIAGNOSTIC CENTRE — Consultancy & Diagnostic Center [DGHS Facility ID 21060],121060
221063,Ideal X-Ray & Pathology Clinic. — Consultancy & Diagnostic Center [DGHS Facility ID 21063],121063
221064,AL ARAFAH HOSPITAL AND DIAGNOSTIC CENTER — Consultancy & Diagnostic Center [DGHS Facility ID 21064],121064
221068,THE METROPOLITAN DIGITAL DIAGNOSTIC & CONSULTATION CENTER — Consultancy & Diagnostic Center [DGHS Facility ID 21068],121068
221071,AL-FALAH PEOPLES (PVT.) HOSPITAL — Consultancy & Diagnostic Center [DGHS Facility ID 21071],121071
221073,Cumilla Adarsho Hospital — Consultancy & Diagnostic Center [DGHS Facility ID 21073],121073
221077,medicare clinic and diagnostic center — Consultancy & Diagnostic Center [DGHS Facility ID 21077],121077
221078,SAJIDA HOSPITAL — Blood Bank [DGHS Facility ID 21078],121078
221088,SADESH DIGITAL PATHOLOGICAL LAB — Consultancy & Diagnostic Center [DGHS Facility ID 21088],121088
221089,FAIR MEDICAL CENTER — Consultancy & Diagnostic Center [DGHS Facility ID 21089],121089
221097,CRYSTAL HEALTHCARE — Consultancy & Diagnostic Center [DGHS Facility ID 21097],121097
221099,Medicare Hospital Lab — Consultancy & Diagnostic Center [DGHS Facility ID 21099],121099
221103,NEW APOLLO HOSPITAL DIAGNOSTIC — Consultancy & Diagnostic Center [DGHS Facility ID 21103],121103
221106,Debidwar Medicare Diagnostic centre — Consultancy & Diagnostic Center [DGHS Facility ID 21106],121106
221108,DOCTORS LAB & CONSULTATION CENTRE — Consultancy & Diagnostic Center [DGHS Facility ID 21108],121108
221112,Model lab. — Consultancy & Diagnostic Center [DGHS Facility ID 21112],121112
221113,Pancha bhai clinic & Diagnostic Centre — Consultancy & Diagnostic Center [DGHS Facility ID 21113],121113
221117,Merina Digital Diagnostic Center — Consultancy & Diagnostic Center [DGHS Facility ID 21117],121117
221118,SSS Diagnostic Center — Consultancy & Diagnostic Center [DGHS Facility ID 21118],121118
221122,UPASHAM HOSPITAL & DIAGNOSTIC CENTRE — Consultancy & Diagnostic Center [DGHS Facility ID 21122],121122
221123,ADVANCED DIGITAL DIAGNOSTIC CENTRE — Consultancy & Diagnostic Center [DGHS Facility ID 21123],121123
221127,Grameen Eye Hospital & Pathology — Consultancy & Diagnostic Center [DGHS Facility ID 21127],121127
221130,New Janata Diagnostic Center . — Consultancy & Diagnostic Center [DGHS Facility ID 21130],121130
221131,KOHINOOR DIAGNOSTIC CENTER — Consultancy & Diagnostic Center [DGHS Facility ID 21131],121131
221132,HEALTH POINT DIAGNOSTIC — Consultancy & Diagnostic Center [DGHS Facility ID 21132],121132
221133,HEALTH CARE DIAGNOSTIC & CONSULTATION CENTER — Consultancy & Diagnostic Center [DGHS Facility ID 21133],121133
221134,Madina Diagnostic Center And Doctor‘s Chamber — Consultancy & Diagnostic Center [DGHS Facility ID 21134],121134
221135,Padma General Hospital — Consultancy & Diagnostic Center [DGHS Facility ID 21135],121135
221138,Ideal Diagnostic Centre — Consultancy & Diagnostic Center [DGHS Facility ID 21138],121138
221144,Jobaida Memorial Hospital & Diagnostic Centre — Consultancy & Diagnostic Center [DGHS Facility ID 21144],121144
221146,Charfasson Gonoshasthaya Kendra Diagnostic Center — Consultancy & Diagnostic Center [DGHS Facility ID 21146],121146
221148,Shandhani Medical Diagonstic Center — Consultancy & Diagnostic Center [DGHS Facility ID 21148],121148
221153,Saturia Diabetic & Diagnostic Center — Consultancy & Diagnostic Center [DGHS Facility ID 21153],121153
221154,Bhaberchar General Hospital & Diagnostic Centre — Consultancy & Diagnostic Center [DGHS Facility ID 21154],121154
221155,RABEYA CLINIC & DIAGNOSTIC CENTRE — Consultancy & Diagnostic Center [DGHS Facility ID 21155],121155
221156,MEDI FAIR DIAGNOSTIC CNTRE — Consultancy & Diagnostic Center [DGHS Facility ID 21156],121156
221158,THE UNITED DIAGNOSTIC CENTRE — Consultancy & Diagnostic Center [DGHS Facility ID 21158],121158
221159,HUMAN CLINIC & DIAGNOSTIC CENTRE — Consultancy & Diagnostic Center [DGHS Facility ID 21159],121159
221160,"Islami Bank Medical College Hospital, Diagnostic Center, Rajshahi — Consultancy & Diagnostic Center [DGHS Facility ID 21160]",121160
221165,Health Plus Diagnostic — Consultancy & Diagnostic Center [DGHS Facility ID 21165],121165
221171,NEW NIRAMOY PATHOLOGY — Consultancy & Diagnostic Center [DGHS Facility ID 21171],121171
221172,LAVA DIAGNOSTICE LAB — Consultancy & Diagnostic Center [DGHS Facility ID 21172],121172
221173,R K HOSPITAL & LAB — Consultancy & Diagnostic Center [DGHS Facility ID 21173],121173
221175,NIRAMOY DIGIAL DIAGNOSTIC CENTER — Consultancy & Diagnostic Center [DGHS Facility ID 21175],121175
221178,Neer Diagnostic Center — Consultancy & Diagnostic Center [DGHS Facility ID 21178],121178
221181,MIRZAPUR MODERN HOSPITAL & DIAGNOSTIC CENTRE — Consultancy & Diagnostic Center [DGHS Facility ID 21181],121181
221188,Savar Adhunik Hospital — Consultancy & Diagnostic Center [DGHS Facility ID 21188],121188
221191,Model Diagnostic Centre — Consultancy & Diagnostic Center [DGHS Facility ID 21191],121191
221192,AKOTA CLINIC & DIAGNOSTIC CENTER — Consultancy & Diagnostic Center [DGHS Facility ID 21192],121192
221197,MODERN ISHAKHAN GENERAL HOSPITAL & DIAGNOSTIC CENTER — Consultancy & Diagnostic Center [DGHS Facility ID 21197],121197
221198,RUPALI DIGITAL DIAGNOSTIC & CONSULTATION CENTRE — Consultancy & Diagnostic Center [DGHS Facility ID 21198],121198
221199,shahana medical Services — Consultancy & Diagnostic Center [DGHS Facility ID 21199],121199
221200,Maa Diagnostic Center — Consultancy & Diagnostic Center [DGHS Facility ID 21200],121200
221201,JONONI CLINIC — Consultancy & Diagnostic Center [DGHS Facility ID 21201],121201
221202,Shaheed Monsur Ali Medical College Hospital — Consultancy & Diagnostic Center [DGHS Facility ID 21202],121202
221204,health care diagonostic centre — Consultancy & Diagnostic Center [DGHS Facility ID 21204],121204
221207,Unique Diagnostic Centre — Consultancy & Diagnostic Center [DGHS Facility ID 21207],121207
221208,Manikganj Central Specialized Hospital and Research Center. — Consultancy & Diagnostic Center [DGHS Facility ID 21208],121208
221212,AL-MADINA MEDICAL SERVICES — Consultancy & Diagnostic Center [DGHS Facility ID 21212],121212
221214,Padma Medical Center Ltd. — Consultancy & Diagnostic Center [DGHS Facility ID 21214],121214
221215,Rafia Hospital (Pvt.) Ltd. — Consultancy & Diagnostic Center [DGHS Facility ID 21215],121215
221217,SITAKUND MODERN HOSPITAL LTD(Lab) — Consultancy & Diagnostic Center [DGHS Facility ID 21217],121217
221218,"Ibrahim General Hospital, Mirpur. — Consultancy & Diagnostic Center [DGHS Facility ID 21218]",121218
221219,SHAPLA DIAGNOSTIC CENTRE — Consultancy & Diagnostic Center [DGHS Facility ID 21219],121219
221221,"Grameen kalyan, Vanderpur Health Center — Consultancy & Diagnostic Center [DGHS Facility ID 21221]",121221
221225,Green Diagnostic Centre — Consultancy & Diagnostic Center [DGHS Facility ID 21225],121225
221226,CARE DIGITAL HOSPITAL (PVT.) — Consultancy & Diagnostic Center [DGHS Facility ID 21226],121226
221227,Spreeha Diagnostic Center — Consultancy & Diagnostic Center [DGHS Facility ID 21227],121227
221228,Better Life Hospital Ltd. — Consultancy & Diagnostic Center [DGHS Facility ID 21228],121228
221229,FAIRWAYS MEDICAL CENTRE — Consultancy & Diagnostic Center [DGHS Facility ID 21229],121229
221231,Cumilla Bashundhara Diagnostic and Consultation Center — Consultancy & Diagnostic Center [DGHS Facility ID 21231],121231
221232,MEDINOVA DIAGNOSTIC CENTRE-(PATHOLOGY) — Consultancy & Diagnostic Center [DGHS Facility ID 21232],121232
221234,Modern Medical Services — Consultancy & Diagnostic Center [DGHS Facility ID 21234],121234
221235,NEW LAB AID DIAGNOSTIC CENTER — Consultancy & Diagnostic Center [DGHS Facility ID 21235],121235
221236,Lutheran Health Care Bangladesh — Consultancy & Diagnostic Center [DGHS Facility ID 21236],121236
221238,Micro Lab Centre. — Consultancy & Diagnostic Center [DGHS Facility ID 21238],121238
221239,ISLAMI HOSPITAL AND DIAGNOSTIC CENTER (LAB) — Consultancy & Diagnostic Center [DGHS Facility ID 21239],121239
221240,SHOHAG DIAGNOSTIC &MEDICAL CENTRE — Consultancy & Diagnostic Center [DGHS Facility ID 21240],121240
221241,ISLAMI BANK SPECIALISED GENERAL HOSPITAL NAYAPALTAN — Blood Bank [DGHS Facility ID 21241],121241
221242,City Medical College & Hospital — Consultancy & Diagnostic Center [DGHS Facility ID 21242],121242
221243,UNIQUE PATHOLOGY — Consultancy & Diagnostic Center [DGHS Facility ID 21243],121243
221244,Fultola Digital Diagnostic Centre — Consultancy & Diagnostic Center [DGHS Facility ID 21244],121244
221247,SAIFA KARIM MEDICAL & DIGITAL DIAGNOSTIC CENTER — Consultancy & Diagnostic Center [DGHS Facility ID 21247],121247
221248,LAXMIPUR DIGITAL DIAGNOSTIC CENTRE — Consultancy & Diagnostic Center [DGHS Facility ID 21248],121248
221250,NEW JANANY DIAGNOSTIC CENTRE — Consultancy & Diagnostic Center [DGHS Facility ID 21250],121250
221251,MEEM HOSPITAL (PVT) LTD — Consultancy & Diagnostic Center [DGHS Facility ID 21251],121251
221253,The Al Baraka Hospital & Diagnostic Center — Consultancy & Diagnostic Center [DGHS Facility ID 21253],121253
221256,ABE HAYAT DIAGNOSTIC CENTRE — Consultancy & Diagnostic Center [DGHS Facility ID 21256],121256
221257,Popular Diagnostic Centre Ltd. (Badda) — Consultancy & Diagnostic Center [DGHS Facility ID 21257],121257
221258,HUMAN LAB DIAGNOSTIC CENTER — Consultancy & Diagnostic Center [DGHS Facility ID 21258],121258
221259,MALEKA NURSING HOME AND DIAGNOSTIC CENTER — Consultancy & Diagnostic Center [DGHS Facility ID 21259],121259
221261,National Diagnostic & Consultation Center — Consultancy & Diagnostic Center [DGHS Facility ID 21261],121261
221263,Concept Plus — Consultancy & Diagnostic Center [DGHS Facility ID 21263],121263
221264,Shefa Diagnostic Center — Consultancy & Diagnostic Center [DGHS Facility ID 21264],121264
221268,Dr.Moynamahi Medical Center — Consultancy & Diagnostic Center [DGHS Facility ID 21268],121268
221269,FAIR MEDICAL SERVICES (LAB) — Consultancy & Diagnostic Center [DGHS Facility ID 21269],121269
221270,Prome Hospital & Diagnostic (PVT) — Consultancy & Diagnostic Center [DGHS Facility ID 21270],121270
221271,Boyra Diagnostic Centre — Consultancy & Diagnostic Center [DGHS Facility ID 21271],121271
221272,Alif Medical Centre — Consultancy & Diagnostic Center [DGHS Facility ID 21272],121272
221273,BANGLADESH DIGITAL LAB- — Consultancy & Diagnostic Center [DGHS Facility ID 21273],121273
221274,Momtaz Diabetic & General Hospital — Consultancy & Diagnostic Center [DGHS Facility ID 21274],121274
221278,Habib Hospital — Consultancy & Diagnostic Center [DGHS Facility ID 21278],121278
221279,National Hospital — Consultancy & Diagnostic Center [DGHS Facility ID 21279],121279
221281,Family Health and Lab Services — Consultancy & Diagnostic Center [DGHS Facility ID 21281],121281
221285,HI-CARE MEDICAL CENTER AND DIAGNOSTIC — Consultancy & Diagnostic Center [DGHS Facility ID 21285],121285
221286,Mim Diagnostic Center — Consultancy & Diagnostic Center [DGHS Facility ID 21286],121286
221287,RELIANCE MEDICAL SERVICES LIMITED — Consultancy & Diagnostic Center [DGHS Facility ID 21287],121287
221288,Popular Lab & Diabetic Centre — Consultancy & Diagnostic Center [DGHS Facility ID 21288],121288
221294,Japan Bangladesh Friendship Medical Services Ltd. — Consultancy & Diagnostic Center [DGHS Facility ID 21294],121294
221298,Bushra Diagnostic Center — Consultancy & Diagnostic Center [DGHS Facility ID 21298],121298
221300,CT IMAGING CENTRE KHULNA LTD. — Consultancy & Diagnostic Center [DGHS Facility ID 21300],121300
221301,DHAKA LAB — Consultancy & Diagnostic Center [DGHS Facility ID 21301],121301
221302,Peoples General Hospital & Diagnostic Center — Consultancy & Diagnostic Center [DGHS Facility ID 21302],121302
221304,ABDUL HIGH DIGITAL MEDICAL CENTER — Consultancy & Diagnostic Center [DGHS Facility ID 21304],121304
221306,NEW CARE DIGITAL DIAGNOSTIC CENTER — Consultancy & Diagnostic Center [DGHS Facility ID 21306],121306
221308,PADMA CLINIC & DIGITAL DIAGNOSTIC CENTER — Consultancy & Diagnostic Center [DGHS Facility ID 21308],121308
221309,MONIR DIAGNOSTIC CENTER — Consultancy & Diagnostic Center [DGHS Facility ID 21309],121309
221312,Medicare Health Services — Consultancy & Diagnostic Center [DGHS Facility ID 21312],121312
221313,Gazipur Clinic & Diagnostic lab. — Consultancy & Diagnostic Center [DGHS Facility ID 21313],121313
221315,Global Orthopadic General Hospital & Diagnostic Center — Consultancy & Diagnostic Center [DGHS Facility ID 21315],121315
221317,PMK HOSPITAL & DIAGNOSTIC CENTRE — Consultancy & Diagnostic Center [DGHS Facility ID 21317],121317
221318,AMENA MEDICAL CENTRE — Consultancy & Diagnostic Center [DGHS Facility ID 21318],121318
221319,"Modern Medical Services, Juri, Moulvibazar. — Consultancy & Diagnostic Center [DGHS Facility ID 21319]",121319
221320,NEW AL-HERA DIGITAL DIAGNOSTIC CENTER. — Consultancy & Diagnostic Center [DGHS Facility ID 21320],121320
221321,NEW POPULAR DIAGNOSTIC CENTER — Consultancy & Diagnostic Center [DGHS Facility ID 21321],121321
221322,SADIA DIAGNOSTIC CENTRE — Consultancy & Diagnostic Center [DGHS Facility ID 21322],121322
221323,PADMA DIGITAL DIAGNOSTIC & HOSPITAL — Consultancy & Diagnostic Center [DGHS Facility ID 21323],121323
221324,Johora Medical & Diagnostic Center — Consultancy & Diagnostic Center [DGHS Facility ID 21324],121324
221325,SHAPLA PATHOLOGICAL LABORATORY — Consultancy & Diagnostic Center [DGHS Facility ID 21325],121325
221330,Prime General Hospital And Diagnostic Centre — Consultancy & Diagnostic Center [DGHS Facility ID 21330],121330
221331,Bagha Diagnostic Center. — Consultancy & Diagnostic Center [DGHS Facility ID 21331],121331
221332,Matubbor Diagnostic center — Consultancy & Diagnostic Center [DGHS Facility ID 21332],121332
221333,AL-HERA HOSPITAL & DIAGNOSTIC CENTER — Consultancy & Diagnostic Center [DGHS Facility ID 21333],121333
221334,AUTHENTIC MEDICAL CHECKUP CENTER — Consultancy & Diagnostic Center [DGHS Facility ID 21334],121334
221337,RELIANCE HOSPITAL — Consultancy & Diagnostic Center [DGHS Facility ID 21337],121337
221341,SUFIA HEART CENTRE & CLINIC — Consultancy & Diagnostic Center [DGHS Facility ID 21341],121341
221342,HUMAN PATHOLOGICAL LABORATORY — Consultancy & Diagnostic Center [DGHS Facility ID 21342],121342
221343,Maria Mother General Hospital — Consultancy & Diagnostic Center [DGHS Facility ID 21343],121343
221344,Eastern Medical College Hospital — Blood Bank [DGHS Facility ID 21344],121344
221346,Medipoint Diagnostics — Consultancy & Diagnostic Center [DGHS Facility ID 21346],121346
221347,AL-JABER MEDICAL CHECK-UP CENTER — Consultancy & Diagnostic Center [DGHS Facility ID 21347],121347
221348,Al Rafi Eye Clinic & Medical Center — Consultancy & Diagnostic Center [DGHS Facility ID 21348],121348
221350,Islami Bank Community Hospital Manikganj Ltd. — Consultancy & Diagnostic Center [DGHS Facility ID 21350],121350
221352,Takerhat General Hospital Pvt. — Consultancy & Diagnostic Center [DGHS Facility ID 21352],121352
221356,Medigarden Diagnostic Center — Consultancy & Diagnostic Center [DGHS Facility ID 21356],121356
221357,SEBA DIAGNOSTIC CENTRE — Consultancy & Diagnostic Center [DGHS Facility ID 21357],121357
221360,Raiyan Health Care Hospital & Research Centere — Consultancy & Diagnostic Center [DGHS Facility ID 21360],121360
221361,Padma Diagnostic Center — Consultancy & Diagnostic Center [DGHS Facility ID 21361],121361
221362,Care Hospital — Consultancy & Diagnostic Center [DGHS Facility ID 21362],121362
221364,"Grameen Kalyan, Amla Health Center — Consultancy & Diagnostic Center [DGHS Facility ID 21364]",121364
221365,Labsscan Diagnostic Center — Consultancy & Diagnostic Center [DGHS Facility ID 21365],121365
221366,Popular Pathological Lab — Consultancy & Diagnostic Center [DGHS Facility ID 21366],121366
221368,BANDHAN DIAGNOSTIC AND CLINIC — Consultancy & Diagnostic Center [DGHS Facility ID 21368],121368
221369,CAMELLIA DUNCAN FOUNDATION (DIAGNOSTIC CENTER) — Consultancy & Diagnostic Center [DGHS Facility ID 21369],121369
221372,Hitech Multicare Hospital Ltd — Blood Bank [DGHS Facility ID 21372],121372
221373,Sapla Clinic and Diagnostic Centre — Consultancy & Diagnostic Center [DGHS Facility ID 21373],121373
221378,Bangora Islami Diagnostic Center. — Consultancy & Diagnostic Center [DGHS Facility ID 21378],121378
221380,GREEN DIAGNOSTIC CENTER — Consultancy & Diagnostic Center [DGHS Facility ID 21380],121380
221381,LIONS ALAM GENERAL & EYE HOSPITAL — Consultancy & Diagnostic Center [DGHS Facility ID 21381],121381
221383,Kidney Care and Diagnostic Center — Consultancy & Diagnostic Center [DGHS Facility ID 21383],121383
221388,Nirapad Diagnostic Centre — Consultancy & Diagnostic Center [DGHS Facility ID 21388],121388
221389,Morning Bird Diagonstic Center — Consultancy & Diagnostic Center [DGHS Facility ID 21389],121389
221390,Doctors General Hospital & Diagnostic Center — Consultancy & Diagnostic Center [DGHS Facility ID 21390],121390
221391,NEW AL HERA MEDICAL CENTRE — Consultancy & Diagnostic Center [DGHS Facility ID 21391],121391
221393,Aziz General Hospital & Diagnostic Center — Consultancy & Diagnostic Center [DGHS Facility ID 21393],121393
221394,NEW AYESHA RAHMAN HOSPITAL — Consultancy & Diagnostic Center [DGHS Facility ID 21394],121394
221395,Ekusha Diaganostic Center — Consultancy & Diagnostic Center [DGHS Facility ID 21395],121395
221398,Jonosheba clinic & Diagnostic center — Consultancy & Diagnostic Center [DGHS Facility ID 21398],121398
221399,Raipur Health Care Centre — Consultancy & Diagnostic Center [DGHS Facility ID 21399],121399
221400,Chalon Bil Nirapod Blood Parisanchalon Centre — Blood Bank [DGHS Facility ID 21400],121400
221403,AL AMIN DIAGNOSTIC CENTRE — Consultancy & Diagnostic Center [DGHS Facility ID 21403],121403
221405,Kazi Medical Center — Consultancy & Diagnostic Center [DGHS Facility ID 21405],121405
221407,STAR LAB & DIAGNOSTIC CENTER — Consultancy & Diagnostic Center [DGHS Facility ID 21407],121407
221409,Asha Diagnostic Center — Consultancy & Diagnostic Center [DGHS Facility ID 21409],121409
221410,Abdur Rahman Hospital & Diagnostic — Consultancy & Diagnostic Center [DGHS Facility ID 21410],121410
221412,PEOPLES DIAGNOSTIC CENTER — Consultancy & Diagnostic Center [DGHS Facility ID 21412],121412
221413,PRANTO. DIAGNOSTIC CENTRE — Consultancy & Diagnostic Center [DGHS Facility ID 21413],121413
221414,SHEIKH DIAGNOSTIC CENTER — Consultancy & Diagnostic Center [DGHS Facility ID 21414],121414
221415,Father tonino memoril hospital — Consultancy & Diagnostic Center [DGHS Facility ID 21415],121415
221417,A. Gafur Memorial Hospital Pathology Section ( P.V.T) — Consultancy & Diagnostic Center [DGHS Facility ID 21417],121417
221418,AL- Humayra Health Centre Ltd. — Consultancy & Diagnostic Center [DGHS Facility ID 21418],121418
221419,NEW JanotaDiagnostic — Consultancy & Diagnostic Center [DGHS Facility ID 21419],121419
221420,A1 Hospital Ltd. — Consultancy & Diagnostic Center [DGHS Facility ID 21420],121420
221421,Selimabad Diagnostic Centre — Consultancy & Diagnostic Center [DGHS Facility ID 21421],121421
