0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Lymphoma,0,0,1,0,8,6,11,22,27,43,71,94,45,39,163,204
Lymphosarcoma,0,0,0,0,0,3,0,5,0,7,39,4,2,3,41,22
"Malaria
(vivax/falciparum)",0,0,4,3,17,12,10,10,55,55,93,58,27,20,206,158
Mastoiditis,0,0,0,0,0,1,4,7,26,56,29,64,29,15,88,143
Measles,0,0,0,1,0,3,3,4,11,9,25,25,7,6,46,48
Meningitis,2,4,56,43,94,80,120,114,131,109,181,166,70,62,654,578
Mental retardation,0,0,2,4,7,1,5,6,12,20,64,47,39,23,129,101
Mumps,0,0,0,0,33,17,44,198,223,186,65,53,91,19,456,473
Myocardial infarction,0,0,0,0,1,0,2,10,21,81,1971,638,2938,1365,4933,2094
Nasal polyp,0,0,0,0,0,0,22,6,53,14,97,16,59,6,231,42
"Nasopharyngeal
Carcinoma",0,0,0,0,4,0,6,7,0,2,4,4,9,2,23,15
Nephrotic syndrome,0,0,8,12,138,95,80,73,82,87,232,154,128,86,668,507
Night blindness,0,0,0,0,27,25,31,43,0,2,44,25,34,32,136,127
Obst. jaundice,0,0,0,1,0,0,0,7,21,61,105,133,66,64,192,266
Obstructed labor,0,0,0,0,0,0,0,0,0,244,2,378,8,95,10,717
Orchitis,0,0,0,0,0,0,3,0,14,19,24,32,14,15,55,66
Osteomyelitis,0,0,0,1,7,8,23,20,46,53,94,48,31,23,201,153
Osteosarcoma,0,0,0,0,0,0,4,3,12,6,9,15,6,4,31,28
Ovarian tumor,0,0,0,0,0,0,0,6,0,97,15,282,14,28,29,413
Pancreatitis,0,0,0,0,0,0,1,1,15,24,64,72,24,28,104,125
Pelvic inf. disease,0,0,0,0,0,0,2,4,2,97,10,180,8,26,22,307
Peptic Ulcer,0,0,0,0,20,6,94,102,321,380,985,971,864,717,2284,2176
Perforation (GI Tract),1,0,0,0,4,3,25,43,84,59,325,144,212,74,651,323
"Peripheral vascular
disease",0,0,0,0,0,0,0,0,21,19,180,56,134,38,335,113
Pleural effusion,0,0,29,28,24,25,6,2,56,113,346,230,411,335,872,733
Pneumonia,214,165,1354,1044,1014,686,330,262,231,105,267,210,193,120,3603,2592
Pneumothorax,0,45,2,11,37,33,19,10,19,19,45,31,28,9,150,158
Poisoning,0,3,4,8,60,75,120,157,542,625,687,553,279,239,1692,1660
Poliomyelitis,0,0,0,0,1,0,10,5,12,38,31,38,17,8,71,89
PPH,0,0,0,0,0,0,0,6,0,203,0,397,0,83,0,689
Prostatic tumor,0,0,0,0,0,0,0,0,0,0,13,12,32,3,45,15
Prostatitis,0,0,0,0,0,0,0,0,14,1,5,4,6,0,25,5
"Protein energy
malnutrition",6,4,95,84,152,243,170,155,131,165,159,65,8,8,721,724
Pulmonary fibrosis,0,0,0,0,0,0,0,0,0,0,23,13,10,12,33,25
Pyelonephritis,0,0,0,0,1,1,0,0,4,6,23,33,12,11,40,51
Rabies,0,0,0,0,0,0,0,0,5,10,6,19,8,3,19,32
