0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Ca-Stomach,0,0,0,0,6,10,8,23,55,27,34,56,92,118,195,234
Cataract,0,17,27,78,74,63,40,67,38,149,107,40,54,417,340,831
Ca-Thyroid,0,0,0,0,0,0,0,0,31,28,38,58,56,152,125,238
Cholecystitis,0,0,0,0,0,0,0,0,24,122,95,203,69,107,188,432
Cholilithiasis,0,0,0,8,14,29,20,66,67,41,108,100,24,103,233,347
Cirrhosis of liver,0,0,0,0,0,0,0,0,65,47,111,110,187,288,363,445
"Congenital heart
disease",2,4,6,2,1,1,3,151,192,313,446,1466,1225,1893,1875,3830
COPD,17,27,80,84,243,194,670,781,1768,2610,3943,4585,8573,5829,15294,14110
Corneal ulcer,0,0,0,0,3,15,36,65,141,161,228,283,349,188,757,712
CVA,0,0,0,0,0,0,0,0,199,275,658,846,2181,1980,3038,3101
Dengue,0,65,128,107,127,168,148,104,160,159,166,188,111,667,840,1458
Diabetes mellitus,0,0,25,60,165,215,154,238,460,437,1037,1083,1260,1510,3101,3543
Diarrhea,1347,1356,18548,13954,33429,25041,16748,14342,17488,21244,25035,30350,16616,17169,129211,123456
Diphtheria,0,1,51,45,52,72,45,49,66,65,132,148,86,82,432,462
Disc prolapse,0,0,0,12,2,2,11,5,43,100,79,116,80,228,215,463
"Drowning/Near-
drowning",0,1,13,19,463,382,307,176,189,115,206,50,58,164,1236,907
Drug reaction,0,1,1,6,16,25,30,35,54,123,116,292,83,158,300,640
Dysentery,2,90,294,368,774,783,937,930,1094,1057,1384,1621,1579,2288,6064,7137
Ectopic pregnancy,0,0,0,0,0,0,0,0,0,621,0,847,0,431,0,1899
Electric shock,2,31,53,33,80,53,146,102,206,130,306,184,123,200,916,733
Emphysema,0,0,99,85,60,55,71,39,40,31,69,97,51,343,390,650
Encephalitis,0,0,0,0,0,0,0,0,889,869,1579,1189,972,2955,3440,5013
Enteric fever,93,81,852,787,2749,2483,3932,3750,6171,5934,8424,8504,5005,4388,27226,25927
Epilepsy,0,84,50,72,94,182,162,155,135,56,56,103,111,590,608,1242
Fibroid,0,0,0,0,0,0,0,0,0,76,0,202,0,179,0,457
Filariasis,8,182,138,84,46,13,6,0,5,81,94,74,99,307,396,741
Food poisoning,26,24,105,125,364,368,574,512,625,678,711,569,484,495,2889,2771
Fracture,10,25,18,18,104,124,248,257,340,273,501,380,223,367,1444,1444
Fungal infections,1,25,31,62,168,160,204,280,292,671,905,1418,488,850,2089,3466
Gangrene,0,0,0,0,0,0,11,2,33,68,109,114,115,111,268,295
Glaucoma,0,0,0,0,0,0,0,0,3,59,56,0,1,56,60,115
Glomerulonephritis,0,0,7,7,19,37,120,27,32,16,14,81,2,32,194,200
Gonorrhea,4,8,0,9,5,58,20,60,93,27,46,115,10,124,178,401
Hemolytic jaundice,0,0,0,0,2,9,6,19,30,34,32,28,18,82,88,172
Hemorrhoids (Piles),0,0,0,2,4,7,5,22,38,28,27,17,19,74,93,150
Head injury,1,3,37,43,84,124,470,336,1502,826,2268,1116,1353,540,5715,2988
Heart failure,0,0,2,0,3,24,30,25,85,75,362,283,663,448,1145,855
