0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Peptic ulcer,0,0,0,0,0,0,0,0,8871,10882,20537,25002,15292,14828,44700,50712
Perforation (GI Tract),0,0,0,0,0,9,7,15,65,70,268,75,201,173,541,342
"Peripheral vascular
disease",0,0,6,91,142,288,173,352,354,463,289,469,226,1470,1190,3133
Pleural effusion,0,2,10,7,20,7,6,4,7,13,28,12,57,31,128,76
Pneumonia,7286,6571,35203,23888,23668,16127,3859,2463,609,480,526,421,443,763,71594,50713
Pneumothorax,12,59,95,37,121,330,73,77,141,147,211,159,60,596,713,1405
Poisoning,3,4,84,68,736,531,1180,1702,6519,7324,8531,8516,2177,1648,19230,19793
Poliomyelitis,0,0,5,2,14,27,34,20,124,144,123,141,45,129,345,463
PPH,0,0,0,0,0,0,0,0,0,771,0,1395,0,89,0,2255
Prostatic tumour,0,0,0,0,0,0,0,0,37,0,1111,0,691,0,1839,0
Prostatitis,0,0,0,0,0,0,0,0,34,0,74,0,145,0,253,0
"Protein energy
malnutrition",4,9,64,49,253,234,175,181,182,159,108,130,131,309,917,1071
Pulmonary fibrosis,0,17,33,148,142,117,102,96,83,163,108,424,100,469,568,1434
Pyelonephritis,0,16,4,25,31,43,36,27,91,68,102,52,27,193,291,424
Rabis,0,0,0,0,0,0,0,0,1,1,1,1,3,1,5,3
Rectal prolapse,0,0,0,8,15,32,24,13,6,17,9,21,13,86,67,177
Refractive error,0,0,0,0,0,0,0,0,119,136,284,207,164,526,567,869
Renal failure,0,0,0,1,1,0,1,2,14,46,45,60,54,90,115,199
Renal stone,0,0,0,7,7,8,21,25,128,173,154,26,58,227,368,466
Retinal problem,0,0,0,0,0,13,10,2,3,8,10,3,7,17,30,43
Rheumatic fever,2,28,23,36,90,60,189,187,235,240,313,359,152,192,1004,1102
Rhinitis,0,0,0,1,0,7,0,0,1,5,1,6,2,18,4,37
Rickets,0,0,0,7,12,29,25,94,125,140,108,24,19,283,289,577
Road-traffic accident,8,16,35,58,542,510,2540,2152,6525,3836,10697,5214,5601,2775,25948,14561
Rupture uterus,0,0,0,0,0,0,0,0,0,29,0,102,0,30,0,161
Scabies,0,0,11,24,136,185,292,417,366,195,415,432,202,238,1422,1491
Schizophrenia,0,0,0,1,0,2,4,8,14,7,37,46,33,56,88,120
Septicemia,0,0,0,0,0,0,0,0,265,84,487,333,6,18,758,435
Spinal cord injury,0,0,0,25,19,50,39,42,29,69,64,116,76,292,227,594
"Suppurative otitis
media",0,0,0,3,12,24,15,107,85,159,134,69,37,338,283,700
Syphilis,0,0,0,1,2,1,0,0,1,0,0,0,1,0,4,2
Tetanus,0,0,0,0,9,11,4,4,29,6,12,6,5,7,59,34
Thalassaemia,113,45,11,7,58,99,165,142,82,260,199,94,96,450,724,1097
Tonsillitis,0,0,3,34,120,103,238,193,405,277,362,214,162,176,1290,997
